Student_ID,Age,Gender,High_School_GPA,SAT_Score,University_GPA,Field_of_Study,Internships_Completed,Projects_Completed,Certifications,Soft_Skills_Score,Networking_Score,Job_Offers,Starting_Salary,Career_Satisfaction,Years_to_Promotion,Current_Job_Level,Work_Life_Balance,Entrepreneurship,Job_Role
0,22.0,1,3.8,1450.0,3.6,50,3,7.0,2,8.0,7.0,3.0,85000.0,8.0,2.0,1,7.0,0,32
1,24.0,0,3.6,1380.0,3.4,49,2,5.0,3,7.0,6.0,2.0,65000.0,7.0,3.0,1,6.0,0,32
2,21.0,1,3.9,1520.0,3.8,52,4,9.0,4,9.0,8.0,4.0,120000.0,9.0,1.0,2,6.0,0,32
3,23.0,0,3.5,1300.0,3.2,71,1,3.0,1,6.0,5.0,1.0,48000.0,6.0,4.0,0,8.0,0,32
4,25.0,1,3.7,1420.0,3.5,69,2,6.0,2,8.0,7.0,3.0,95000.0,8.0,2.0,1,5.0,0,32
5,22.0,0,3.4,1250.0,3.1,51,1,4.0,1,7.0,6.0,1.0,42000.0,7.0,5.0,0,9.0,0,32
6,24.0,1,3.2,1180.0,2.9,0,0,2.0,0,6.0,4.0,0.0,35000.0,5.0,5.0,0,7.0,0,32
7,23.0,0,3.8,1480.0,3.7,54,3,8.0,3,9.0,8.0,3.0,110000.0,9.0,2.0,1,6.0,0,32
8,21.0,1,3.6,1350.0,3.3,53,2,5.0,2,7.0,7.0,2.0,72000.0,7.0,3.0,1,6.0,0,32
9,25.0,0,3.9,1550.0,3.9,50,4,9.0,5,10.0,9.0,5.0,140000.0,10.0,1.0,2,5.0,0,32
10,22.0,1,3.3,1220.0,3.0,68,1,3.0,1,6.0,5.0,1.0,40000.0,6.0,4.0,0,8.0,0,32
11,24.0,0,3.7,1400.0,3.5,70,2,6.0,2,8.0,7.0,2.0,68000.0,7.0,3.0,1,7.0,0,32
12,23.0,1,3.5,1320.0,3.2,52,2,5.0,2,7.0,6.0,2.0,60000.0,7.0,4.0,1,6.0,0,32
13,21.0,0,3.8,1460.0,3.6,49,3,7.0,3,9.0,8.0,3.0,90000.0,8.0,2.0,1,7.0,0,32
14,25.0,1,3.6,1380.0,3.4,50,3,6.0,3,8.0,7.0,3.0,80000.0,8.0,3.0,1,6.0,0,32
15,22.0,0,3.4,1240.0,3.1,71,1,4.0,1,7.0,6.0,1.0,45000.0,6.0,5.0,0,8.0,0,32
16,24.0,1,3.2,1160.0,2.8,0,0,2.0,0,5.0,4.0,0.0,32000.0,5.0,5.0,0,7.0,0,32
17,23.0,0,3.9,1580.0,4.0,69,4,9.0,5,10.0,9.0,5.0,150000.0,10.0,1.0,2,5.0,0,32
18,21.0,1,3.7,1420.0,3.5,52,3,7.0,3,8.0,7.0,3.0,95000.0,8.0,2.0,1,6.0,0,32
19,25.0,0,3.5,1300.0,3.2,51,2,5.0,2,7.0,6.0,2.0,52000.0,7.0,4.0,0,8.0,0,32
20,22.0,1,3.8,1470.0,3.7,53,3,8.0,3,9.0,8.0,4.0,105000.0,9.0,2.0,1,6.0,0,32
