Degree,Field_of_Study,University_GPA,Certifications,Internships_Completed,Job_Role
B.A,Journalism & Mass Communication,8.32,React,0,Public Relations Officer
M.Sc,Agriculture (M.Sc),9.61,React,0,Senior Researcher
M.Tech,Embedded Systems,8.87,Java,2,Senior Data Scientist
B.Sc,Environmental Science,7.89,React,1,Dietician
B.Tech,Biomedical Engineering,7.49,AutoCAD,1,Automotive Design Engineer
B.Sc,Nursing,7.86,Python,1,Dietician
B.Tech,Marine Engineering,8.62,Java,1,Biomedical Engineer
MBA,Human Resource (Advanced),8.72,Scrum Master,1,Product Manager
B.A,Performing Arts,7.23,Six Sigma,3,Art Director
B.Des,Jewellery Design,9.21,AutoCAD,1,UI/UX Designer
B.A,Sanskrit,6.26,AutoCAD,1,Social Worker
M.Tech,Transportation Engineering,6.74,Six Sigma,0,Robotics System Architect
M.Tech,Environmental Engineering (Masters),8.21,Python,2,Senior Data Scientist
M.Sc,Agriculture (M.Sc),8.29,Java,0,Data Engineer
MBA,Aviation Management (Advanced),9.89,Java,1,Supply Chain Manager
B.Sc,Nutrition & Dietetics,8.75,AutoCAD,2,Microbiologist
B.Tech,Production Engineering,7.38,AutoCAD,3,Process Engineer
B.Com,Corporate Secretaryship,6.87,Java,3,Bank Officer
B.Com,Taxation,7.65,React,2,Tax Consultant
BBA,Banking & Insurance,6.38,Java,2,Relationship Manager
MBA,International Business (Advanced),8.93,AutoCAD,2,Product Manager
M.Tech,Thermal Engineering,7.43,Scrum Master,3,VLSI Architect
B.Sc,Agriculture,6.32,React,1,Registered Nurse
B.Sc,Nutrition & Dietetics,8.63,Scrum Master,2,Microbiologist
BBA,Hospitality Management,8.05,AWS,2,Retail Store Manager
B.Tech,Textile Engineering,7.79,Python,3,Automotive Design Engineer
B.A,History,6.45,AWS,0,Social Worker
MBA,Business Analytics (Advanced),7.01,Java,2,HR Director
M.Sc,Physics (M.Sc),9.41,Java,2,Senior Researcher
B.Sc,Psychology,7.65,CPA,2,Dietician
B.Sc,Information Technology,9.01,AWS,0,Software Developer
B.A,Hindi,6.06,CPA,0,Social Worker
B.Sc,Data Science,6.82,Java,2,Forensic Expert
MBA,Business Analytics (Advanced),9.5,React,0,Investment Banker
B.Des,Animation & Multimedia,8.91,Six Sigma,2,Product Designer
B.Tech,Data Science,6.69,Scrum Master,0,System Engineer
B.Sc,Nutrition & Dietetics,8.01,React,3,Microbiologist
MBA,Banking & Financial Services,6.12,AWS,3,Agri-Business Manager
B.A,Fine Arts,9.54,Python,2,Journalist
M.Tech,VLSI,6.45,React,2,Robotics System Architect
B.Sc,Information Technology,8.59,Scrum Master,0,Lab Technician
B.Sc,Mathematics,9.24,Python,1,Software Developer
B.A,Hindi,9.17,Six Sigma,3,Content Writer
B.Sc,Environmental Science,7.15,None,2,Dietician
M.Sc,Psychology (M.Sc),6.22,Python,1,Statistician
BBA,Travel & Tourism,8.96,None,3,Retail Store Manager
M.Sc,Psychology (M.Sc),6.87,Python,3,Statistician
B.Tech,Mechatronics Engineering,7.56,Java,3,Automotive Design Engineer
M.Tech,Environmental Engineering (Masters),6.34,AWS,0,Robotics System Architect
M.Tech,Cybersecurity (Masters),7.38,Scrum Master,1,VLSI Architect
B.Com,Economics,6.64,CPA,2,Bank Officer
B.Sc,Information Technology,8.75,AutoCAD,0,Lab Technician
MBA,Marketing (Advanced),8.55,AWS,1,Product Manager
,Human Resource Management,9.36,Java,0,Business Analyst
B.Des,UI/UX Design,7.71,Java,2,Fashion Stylist
BBA,International Business,9.79,AWS,0,Business Analyst
B.A,History,8.86,None,1,Psychologist
M.Tech,Environmental Engineering (Masters),7.28,AWS,0,VLSI Architect
B.Com,Corporate Secretaryship,7.79,Scrum Master,3,Tax Consultant
B.A,Education,7.15,AWS,0,Policy Analyst
B.Des,Graphic Design,8.29,Scrum Master,2,Product Designer
MBA,Banking & Financial Services,9.4,Scrum Master,2,Supply Chain Manager
B.Tech,Biotechnology,8.61,CPA,3,Biomedical Engineer
B.Tech,Biomedical Engineering,9.23,Six Sigma,1,Robotics Engineer
M.Sc,Artificial Intelligence (M.Sc),6.2,React,2,Statistician
B.Sc,Agriculture,7.44,AWS,1,Dietician
B.Com,Accounting & Finance,9.16,Scrum Master,0,Chartered Accountant
B.A,Sanskrit,6.44,Six Sigma,1,Social Worker
MBA,Banking & Financial Services,9.04,Python,1,Supply Chain Manager
B.Tech,Mining Engineering,8.34,AutoCAD,1,Structural Engineer
B.Tech,Mining Engineering,8.13,AWS,3,Structural Engineer
B.Tech,Textile Engineering,8.26,React,0,Biomedical Engineer
BBA,Business Analytics,6.9,AWS,1,Sales Manager
B.Des,Product Design,9.3,CPA,3,UI/UX Designer
M.Tech,Computer Science Engineering (Masters),9.41,React,3,R&D Engineer
M.Tech,Transportation Engineering,8.85,Java,0,Senior Data Scientist
MBA,International Business (Advanced),6.32,React,3,Business Development Manager
B.Tech,Petroleum Engineering,7.85,Six Sigma,2,Automotive Design Engineer
BBA,Healthcare Management,7.81,Python,1,Aviation Operations Manager
